name,condition,conf_clear,conf_adverse,conf_drop_pct,ent_clear,ent_adverse,ent_rise,kl,mean_iou_adv,iou_adv_c0,iou_adv_c1,iou_adv_c2,iou_adv_c3,iou_adv_c4,iou_adv_c5,iou_adv_c6,iou_adv_c7,iou_adv_c8,iou_adv_c9,iou_adv_c10,iou_adv_c11,iou_adv_c12,iou_adv_c13,iou_adv_c14,iou_adv_c15,iou_adv_c16,iou_adv_c17,iou_adv_c18
GOPR0476_frame_001039,fog,0.9480304718017578,0.966517448425293,-0.019500403181551874,0.13464313745498657,0.09166574478149414,-0.04297739267349243,3.659231424331665,0.464530885219574,0.9466245174407959,0.7856833934783936,0.9253800511360168,,0.3074096441268921,0.09739339351654053,0.5395808815956116,0.034285712987184525,0.7933917045593262,0.0,0.9861010909080505,0.3210892975330353,0.0,0.766493022441864,0.0,,,,
GOPR0476_frame_000952,fog,0.9484713077545166,0.9528172612190247,-0.004582061031425809,0.138313427567482,0.1302681714296341,-0.0080452561378479,2.379531145095825,0.5392547249794006,0.9676296710968018,0.7280128002166748,0.1236196830868721,0.0,0.8556742668151855,0.39242491126060486,0.0,0.7067448496818542,0.9457006454467773,0.4335302710533142,0.9629340171813965,,,0.894040584564209,,,,0.0,
GOPR0476_frame_001029,fog,0.9518187046051025,0.9289273023605347,0.0240501703668069,0.1343490332365036,0.19377470016479492,0.05942566692829132,3.7746078968048096,0.4443680942058563,0.9757097959518433,0.8283045291900635,0.7303280830383301,0.041330646723508835,0.13612689077854156,0.22428031265735626,0.0,0.0,0.8459963798522949,0.7232058048248291,0.9780890345573425,,,0.7377815842628479,0.0,,,,0.0
GOPR0476_frame_000775,fog,0.9579071402549744,0.9383344650268555,0.02043274781163192,0.11680338531732559,0.1680312305688858,0.05122784525156021,2.800671100616455,0.5708901286125183,0.911527156829834,0.5728247165679932,0.7852333784103394,0.0,0.8879289031028748,0.7816348075866699,0.010582010261714458,0.05323740839958191,0.9437286257743835,,0.9884210824966431,0.1309669464826584,,0.7845965623855591,,,,,
GOPR0476_frame_000899,fog,0.93819260597229,0.9410116672515869,-0.003004778796276667,0.16579657793045044,0.1597532480955124,-0.006043329834938049,2.8621766567230225,0.5989446640014648,0.984703779220581,0.8602723479270935,0.8856670260429382,0.03201669082045555,,0.0,,0.0,0.9198526740074158,0.4404364228248596,0.9265759587287903,,,0.9399216175079346,,,,,
GOPR0476_frame_001033,fog,0.9623371958732605,0.9487781524658203,0.014089700912203853,0.10433495044708252,0.13954919576644897,0.035214245319366455,3.2815678119659424,0.4615534245967865,0.8452128767967224,0.21311600506305695,0.8333680033683777,,0.0,0.44742506742477417,0.26143792271614075,0.0,0.8600846529006958,0.6322119832038879,0.964506208896637,0.0,,0.9428324103355408,,,,0.0,
GOPR0476_frame_000957,fog,0.9393329620361328,0.9212308526039124,0.019271238177641797,0.15963305532932281,0.20995865762233734,0.050325602293014526,2.2774126529693604,0.36901378631591797,0.9682910442352295,0.5194585919380188,0.3894009292125702,0.0,0.0,0.2590378522872925,0.2224137932062149,0.0,0.8887428045272827,0.4816364049911499,0.9616991281509399,0.0,,0.8445258140563965,0.0,,,,0.0
GOPR0476_frame_000935,fog,0.9562424421310425,0.9302735924720764,0.027157181320587635,0.11911845207214355,0.18818573653697968,0.06906728446483612,2.946335554122925,0.5960317254066467,0.9662578701972961,0.5417628884315491,0.7880772948265076,0.13677775859832764,0.0,0.30889594554901123,0.45117029547691345,0.7273844480514526,0.6606888175010681,0.8156344294548035,0.9720343947410583,,,0.7836955785751343,,,,,
GOPR0476_frame_000834,fog,0.9379242658615112,0.9174978733062744,0.02177829605324435,0.17241933941841125,0.22876565158367157,0.056346312165260315,3.5280044078826904,0.5643027424812317,0.9182006120681763,0.7911827564239502,0.9146897792816162,0.5869264602661133,0.01095617562532425,0.7035126686096191,0.48696330189704895,0.7410751581192017,0.8904048800468445,0.0005447512958198786,0.9748634696006775,,0.0,0.8809182643890381,0.0,,,,
GOPR0476_frame_000889,fog,0.9439284205436707,0.911797821521759,0.0340392321941246,0.15003088116645813,0.23754215240478516,0.08751127123832703,2.90818190574646,0.36976170539855957,0.9524422287940979,0.66265869140625,0.6287091374397278,0.2755787968635559,0.5535491108894348,0.17855899035930634,0.0,0.0,0.6376885771751404,0.08488140255212784,0.9539989829063416,,,0.2485981285572052,0.0,,,,0.0
GOPR0476_frame_001024,fog,0.9537479877471924,0.9209954142570496,0.03434090930466568,0.12652574479579926,0.212185338139534,0.08565959334373474,2.6837780475616455,0.537829577922821,0.9228002429008484,0.6972984075546265,0.853122889995575,0.0,,0.5083742737770081,0.7154363393783569,0.327377051115036,0.8802447319030762,0.12672777473926544,0.9619237780570984,0.0,,0.4606492519378662,,,,,
GOPR0476_frame_000910,fog,0.9401156306266785,0.9400634765625,5.547622220570763e-05,0.15653745830059052,0.16787445545196533,0.011336997151374817,3.195831775665283,0.519493818283081,0.9391688704490662,0.7642419338226318,0.8363116383552551,0.48466381430625916,0.0,0.2259700745344162,0.28208231925964355,0.28304705023765564,0.8836246132850647,0.8373728394508362,0.949638843536377,0.27912843227386475,,0.5076632499694824,0.0,,,,
GOPR0476_frame_000894,fog,0.9607121348381042,0.9388426542282104,0.022763822365937887,0.1103382483124733,0.1679888814687729,0.05765063315629959,3.3211472034454346,0.7045546174049377,0.9937949776649475,0.9005875587463379,0.9048281908035278,0.6225084662437439,0.5563493371009827,0.40689927339553833,,0.47835657000541687,0.9281594157218933,0.4805985689163208,0.9427613019943237,,,0.5352572798728943,,,,,
GOPR0476_frame_001055,fog,0.9618002772331238,0.9427289962768555,0.019828732855894603,0.10692420601844788,0.15668541193008423,0.04976120591163635,3.3367977142333984,0.4513210654258728,0.9264293313026428,0.21933674812316895,0.6129713654518127,0.0,0.0,0.5233790278434753,0.2164948433637619,0.519942581653595,0.8309618234634399,0.0,0.974553644657135,,0.6236379146575928,0.6734597086906433,0.0,,,,0.6486486196517944
GOPR0476_frame_001002,fog,0.9478448033332825,0.9061180949211121,0.04402272167891096,0.14464916288852692,0.2490849792957306,0.10443581640720367,3.14522123336792,0.47585785388946533,0.8950985074043274,0.5299880504608154,0.39903441071510315,0.001249041873961687,0.00026391117717139423,0.5593516230583191,0.7666427493095398,0.7091453075408936,0.8186624050140381,0.7931674718856812,0.9584411978721619,,,0.7068233489990234,0.0,0.0,0.0,,
GOPR0476_frame_000940,fog,0.9559788107872009,0.9461472630500793,0.010284273587803747,0.1215544044971466,0.15418849885463715,0.03263409435749054,3.2910046577453613,0.483430951833725,0.9716818928718567,0.7725433111190796,0.8289521932601929,,0.0,0.3743512034416199,0.5725234150886536,0.0,0.8871416449546814,0.4105478823184967,0.9715716242790222,0.0,,0.33418935537338257,0.6445308923721313,0.0,,,
